index,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,cb_person_default_on_file,cb_person_cred_hist_length
0,22,59000,RENT,123.0,PERSONAL,D,35000,16.02,1,1,3
1,21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0,2
2,25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0,3
3,23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0,2
4,24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,1,4
5,21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0,2
6,26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0,3
7,24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0,4
8,24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0,2
9,21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0,3
10,22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0,4
11,21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0,2
12,23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0,2
13,26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0,4
14,23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0,4
15,23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0,3
16,23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0,4
17,23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0,4
18,23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0,4
19,24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0,2
20,25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0,4
21,25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,1,2
22,22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0,4
23,24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0,3
24,22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,1,4
25,24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0,3
26,21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,1,3
27,23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0,3
28,24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0,3
29,21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,1,2
30,21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0,3
31,25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0,2
32,26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,1,3
33,25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0,3
34,26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0,4
35,21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0,4
36,22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0,2
37,24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,1,3
38,25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,1,4
39,26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0,2
40,24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0,3
41,26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0,4
42,23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,1,2
43,26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0,4
44,26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0,3
45,25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0,3
46,26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0,3
47,22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0,3
48,26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0,3
49,23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,1,3
50,23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,1,3
51,23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0,2
52,25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0,4
53,26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,1,3
54,26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0,3
55,25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0,4
56,21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0,4
57,22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0,2
58,25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0,2
59,22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0,3
60,22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,1,3
61,26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0,3
62,25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,1,2
63,24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0,2
